id,original,surface,pronunciation
0,宇佐美一夫,宇佐美一夫,ウサミカズオ
0,宇佐美一夫,宇佐美,ウサミ
0,宇佐美一夫,一夫,カズオ
1,小石博孝,小石博孝,コイシヒロタカ
1,小石博孝,小石,コイシ
1,小石博孝,博孝,ヒロタカ
2,小塚弘司,小塚弘司,コヅカヒロシ
2,小塚弘司,小塚,コヅカ
2,小塚弘司,弘司,ヒロシ
3,辻勇夫(辻功),辻勇夫,ツジイサオ
3,辻勇夫(辻功),辻,ツジ
3,辻勇夫(辻功),勇夫,イサオ
3,辻勇夫(辻功),辻功,ツジイサオ
3,辻勇夫(辻功),功,イサオ
4,河文雄,河文雄,カワフミオ
4,河文雄,河,カワ
4,河文雄,文雄,フミオ
5,マット・シューメーカー,マット・シューメーカー,マットシューメーカー
5,マット・シューメーカー,シューメーカー,シューメーカー
5,マット・シューメーカー,マット,マット
6,熊野輝光,熊野輝光,クマノヒロミツ
6,熊野輝光,熊野,クマノ
6,熊野輝光,輝光,ヒロミツ
7,夏目隆司,夏目隆司,ナツメタカシ
7,夏目隆司,夏目,ナツメ
7,夏目隆司,隆司,タカシ
8,古田敦也,古田敦也,フルタアツヤ
8,古田敦也,古田,フルタ
8,古田敦也,敦也,アツヤ
9,荘勝雄,荘勝雄,ソウカツオ
9,荘勝雄,荘,ソウ
9,荘勝雄,勝雄,カツオ
